Taxa,CommonName,Family,Order,Class,include,Juv.cut.cm,fishcode,WL_Non.standard,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,WL_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,VBGF.Linf,VBGF.k,VBGF.t0,VBGF.Linf.F,VBGF.k.F,VBGF.t0.F,VBGF.Linf.M,VBGF.k.M,VBGF.t0.M,VBGF_input_length,VBGF.Reference,VBGF_Reference_Notes,LC.a._for_VBGF,LC.b._for_VBGF,LC_type_for_VBGF,LL_reference_for_VBGF,LL_equation_for_VBGF,F_Type,F_a,F_b,F_L_units,F_input_length,DescriptionA,Output.units,F_Citation,Size_Mature_cm,SM_input_length,F_SM_Notes,guild,description,LETTER.6,Code,pisco_classcode,crane_code,VGR.code,RCCA.code,KFM.species.number,KFM.species.code,LTER.code,rigbase.fishcode,rigbase_Scientific_Name,rigbase_Common_Name,rigbase_sp_sub_gp,rigbase_species_grp,rigbase_Family,rigbase_category,spelling.old.name,Max_Length_fishbase,No.Lat,So.Lat,lim_min_in,TrophicGroup,BroadTrophic,Targeted,Notes_TG,Biomass_Buster
Sebastes atrovirens,kelp rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,6,KELP,NA,0.0239,2.862,g,cm,TL,Love et al. 2002,,NA,NA,NA,,,NA,NA,NA,28.5,0.29,-0.03,28.19,0.3,-0.01,SL,Romero 1988,SL cm,1.23,0.667,REVERSE,Romero 1988,,NS,2.00E-05,4.134,mm,SL,F=aSL(mm)^b   ,eggs,Romero 1988,22,TL,NA,23,water column  pelagic mesocarnivores,SEBATR,36120,SATR,SATR,Sebastes atrovirens,kelp rockfish,14009,Sebastes atrovirens Adult,SATR,KELP,Sebastes atrovirens,kelp rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,42,38,27,10,piscivore,piscivore,Targeted,,1
Sebastes auriculatus,brown rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,8,BROWN,NA,0.044,2.74,g,cm,TL,Love and Johnson 1998,,NA,NA,NA,,,51.4,0.16,-0.55,NA,NA,NA,NA,NA,NA,TL,Love and Johnson 1998,TL cm,NA,NA,NA,,,F,0.000363,3.34124,mm,TL,F= aTL (mm)^b,eggs,Garrison 1982,26,TL,(Female L50 - Love 1998),10,substrate associated  nocturnal,SEBAUR1,36111,SAUR,SAUR,Sebastes auriculatus,brown rockfish,NA,,SAUR,BROWN,Sebastes auriculatus,brown rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,56,57,26,NA,piscivore,piscivore,Targeted,,1
Squatina californica,Pacific angel shark,Squatinidae,Squatiniformes,Elasmobranchii,1,10,S_CALI,NA,7.81E-06,3.0193,g,mm,TL,Williams et al. 2013,,NA,NA,NA,,,121.4,0.148,0,NA,NA,NA,NA,NA,NA,TL,Caillet et al. 1992,(TL cm) T0 Value missing since based on mark-recapture using FABENS model,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,substrate associated  nocturnal,SQUCAL,39010,SCAL,SCAL,Squatina californica,,NA,,,S_CALI,Squatina californica,Pacific angel shark,SHARK,SHARK,Squatinidae,,Squatina california,152,60,24,40,piscivore,piscivore,Targeted,,0
Sebastes carnatus,gopher rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,5,GOPHER,NA,0.000172,2.6801,g,mm,SL,Williams et al. 2013,,1.2,0,REVERSE,FishBase,TL=1.12SL,NA,NA,NA,34.1,0.253,-0.1,32.9,0.275,-0.1,TL,Lea et al. 1999,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,substrate associated  water column/benthic forgaers  mesocarnivores,SEBCAR,36112,SCAR,SCAR,Sebastes carnatus,gopher rockfish,NA,,SCAR,GOPHER,Sebastes carnatus,gopher rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,39,42,27,10,piscivore,piscivore,Targeted,,1
Sebastes caurinus,copper rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,COPPER,NA,8.98E-06,3.132,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,45.6,0.1,-3.7,NA,NA,NA,NA,NA,NA,FL,Love et al. 2002,FL cm,1.01,0.0629,REVERSE,Love et al. 2002,,F,2.74E-08,4.9567,mm,TL,F= aTL (mm)^b,eggs,Matarese 1989,34,TL,(Female L50 - Echeverria 1987),10,substrate associated  nocturnal,SEBCAU,36122,SCAU,SCAU,Sebastes caurinus,copper rockfish,NA,,SCAU,COPPER,Sebastes caurinus,copper rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,Sebastes vexillaris,58,60,33,NA,piscivore,piscivore,Targeted,,1
Sarda chiliensis,Pacific bonito,Scombridae,Perciformes,Actinopterygii,0,10,,NA,7.63E-06,3.0896,g,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,SARCHI,19022,SCHI,SCHI,Sarda chiliensis,,NA,,,,,,,,,,,NA,57,-30,24,piscivore,piscivore,Targeted,,0
Sebastes chrysomelas,black-and-yellow rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,5,CHRYSO,NA,1.12E-05,3.114,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,NA,NA,NA,21.5,0.21,-0.72,19.9,0.28,-0.28,TL,Love et al. 2002,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,SEBCHR,36124,SCHR,SCHR,Sebastes chrysomelas,black and yellow,NA,,SCHR,CHRYSO,Sebastes chrysomelas,black and yellow rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,,,39,40,27,10,piscivore,piscivore,Targeted,,
Sebastes dallii,calico rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,5,CALICO,NA,0.00945,3.21542,g,cm,TL,Love et al. 1990,,NA,NA,NA,,,16.2,0.12,-2.95,NA,NA,NA,NA,NA,NA,SL,Chen 1971,SL cm- Ages determined with whole otoliths,0.87,0,TYPICAL,FishBase,,F,0.211,4.0981,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",9,TL,(Female L50 - Love 1990) one brood per year,10,substrate associated  nocturnal,SEBDAL,36119,SDAL,SDAL,Sebastes dallii,,NA,,,CALICO,Sebastes dallii,calico rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,25,NA,NA,NA,benthic macro-invertivore,carnivore,Targeted,,1
Sebastes sp.,rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,RKFISH,NA,0.01464,2.96355,g,cm,TL,used Sebastes hopkinsi,,NA,NA,NA,,,NA,NA,NA,25.25,0.18,-3.36,24.71,0.06,-10.33,TL,used Sebastes hopkinsi,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SEBSP.,36110,SEBSPP,SEBSPP,Sebastes sp.,,NA,,SCSP,RKFISH,Sebastes spp.,unidentified rockfishes,ROCKFISH,ROCKFISH,Scorpaenidae,Other rockfishes,Sebastes sp,NA,NA,NA,NA,piscivore,piscivore,Targeted,,1
Sebastes entomelas,widow rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,WIDOW,NA,0.0164,2.942,g,cm,TL,Love et al. 2002,,NA,NA,NA,,,NA,NA,NA,47.55,0.2,-0.17,41.5,0.25,-0.28,FL,Williams et al. 2000,FL cm - South of 43 degrees,1.072,-0.6845,REVERSE,Echeverria and Lenarz 1984,,F,0.007,4.7185,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",35,TL,(Female L50 - Love 1990) one brood per year,5,,SEBENT,NA,SENT,SENT,,,NA,,,WIDOW,Sebastes entomelas,widow rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,60,57,32,NA,planktivore,planktivore,Targeted,,1
Stereolepis gigas,giant sea bass,Polyprionidae,Perciformes,Actinopterygii,1,10,S_GIGAS,NA,0.000107,2.8032,g,mm,SL,Williams et al. 2013,,1.2058,-10.8662,REVERSE,Williams et al. 2013,TL= 1.2058 *SL + -10.8662,200.6,0.126,-0.49,NA,NA,NA,NA,NA,NA,TL,used Epinephelus itajara (Bullock 1992),,1.2058,-10.8662,REVERSE,Williams et al. 2013,TL= 1.2058 *SL + -10.8662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,STEGIG,14021,SGIG,SGIG,Stereolepis gigas,giant sea bass,NA,,,S_GIGAS,Stereolepis gigas,giant sea bass,BASS,BASS,Percichthyidae,Other fishes,,250,40,30,NA,piscivore,piscivore,Non-targeted,,0
Scorpaena guttata,California scorpionfish,Scorpaenidae,Scorpaeniformes,Actinopterygii,1,10,S_GUTT,NA,3.66E-05,2.9831,g,mm,SL,Williams et al. 2013,,1.2258,0.11535,REVERSE,Williams et al. 2013,TL= 1.2258 *SL + 1.1535,NA,NA,NA,44.3,0.13,-1.9,36.3,0.12,-3.86,TL,Love et al. 1987,TL cm,1.2258,0.11535,REVERSE,Williams et al. 2013,TL= 1.2258 *SL + 1.1535,NO,NA,NA,NA,NA,NA,NA,NA,18,TL,Female Size at maturity 18cm (Love 1987),NA,,SCOGUT,16100,SGUT,SGUT,Scorpaena guttata,,NA,,SGUT,S_GUTT,Scorpaena guttata,spotted scorpionfish,SCORPIONFISH,SCORPIONFISH,Scorpaenidae,Other fishes,,43,37,24,10,piscivore,piscivore,Targeted,,1
Sebastes hopkinsi,squarespot rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,SQSPOT,NA,0.01464,2.96355,g,cm,TL,Love et al. 2002,,NA,NA,NA,,,NA,NA,NA,25.25,0.18,-3.36,24.71,0.06,-10.33,TL,Love et al. 1990,TL cm,NA,NA,NA,,,F,4.219,2.7994,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",14,TL,(Female L50 - Love 1990) multiple broods per year,10,substrate associated  nocturnal,SEBHOP,NA,SHOP,SHOP,Sebastes hopkinsi,,NA,,,SQSPOT,Sebastes hopkinsi,squarespot rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Dwarf rockfishes,,29,37,29,NA,planktivore,planktivore,Targeted,,1
Scomber japonicus,Pacific chub mackerel,Scombridae,Perciformes,Actinopterygii,0,10,S_JAPO,NA,1.93E-05,2.9332,g,mm,SL,Williams et al. 2013,,1.193,0.0881,REVERSE,van der Elst et al 1991,TL=.0881+1.193*SL,43.61,0.244,-3.02,NA,NA,NA,NA,NA,NA,FL,Knaggs and Parrish 1973,FL cm,1.01,-0.247,TYPICAL,Moutopoulos and Stergiou 2002 ,FL=-.247+1.010*TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,SCOJAP,19021,SJAP,SJAP,Scomber japonicus,,NA,,,S_JAPO,Scomber japonicus,Pacific mackerel,,,Scombridae,Pelagic,,64,57,-30,NA,piscivore,piscivore,Targeted,,1
Seriola lalandi,yellowtail jack,Carangidae,Perciformes,Actinopterygii,1,10,,NA,3.37E-05,2.85,g,mm,TL,RecFIN,,NA,NA,NA,,,844,0.202,-0.1,NA,NA,NA,NA,NA,NA,NA,Valdez-Ornelas et al. 2007,TL mm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,SERDOR,39901,SLAL,SLAL,Seriola lalandi,,NA,,,,,,,,,,Seriola dorsalis,250,47,30,24,piscivore,piscivore,Targeted,,1
Synodus lucioceps,California lizardfish,Synodontidae,Aulopiformes,Actinopterygii,1,10,LIZARD,NA,2.12E-06,3.2551,g,mm,SL,Williams et al. 2013,,1.147,-0.16583,REVERSE,Williams et al. 2013,TL= 1.147 *SL + -1.6583,69.8,0.06,-3.5,NA,NA,NA,NA,NA,NA,TL,used Paralabrax clathratus,,1.147,-0.16583,REVERSE,Williams et al. 2013,TL= 1.147 *SL + -1.6583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,SYNLUC,13000,SLUC,SLUC,Synodus lucioceps,,NA,,,LIZARD,Synodus lucioceps,California lizardfish,LIZARDFISH,LIZARDFISH,Synodontidae,Other fishes,,64,38,28,NA,piscivore,piscivore,Non-targeted,,1
Scorpaenichthys marmoratus,cabezon,Cottidae,Scorpaeniformes,Actinopterygii,1,10,CABZON,NA,5.50E-06,3.185,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,NA,NA,NA,64.7,0.17,-1.74,44.1,0.35,-1.49,TL,Grebel 2010,TL cm,NA,NA,NA,,,NS,NA,NA,NA,NA,1000s of eggs = 10.8W(kg)+39.25,1000s of eggs,Lauth 1989,34,TL,Female Size at maturity 34 cm (Grebel 2010),NA,,SCOMAR,16412,SMAR,SMAR,Scorpaenichthys marmoratus,cabezon,NA,,SMAR,CABZON,Scorpaenichthys marmoratus,cabezon,SCULPIN,SCULPIN,Cottidae,Other fishes,,99,56,26,15,piscivore,piscivore,Targeted,,1
Sebastes melanops,black rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,BLACK,NA,5.81E-06,3.187,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,44.2,0.33,-0.75,NA,NA,NA,NA,NA,NA,FL,Bobko and Berkeley 2004,FL cm - females,1.017,0.1595,REVERSE,Echeverria and Lenarz 1984,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,substrate associated  water column/benthic forgaers  mesocarnivores,SEBMEL1,20008,SMEL,SMEL,Sebastes melanops,black rockfish,NA,,,BLACK,Sebastes melanops,black rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,63,51,33,NA,piscivore,piscivore,Targeted,,1
Sebastes miniatus,vermilion rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,VERM,NA,0.02157,2.92339,g,cm,TL,Love et al. 1990,,NA,NA,NA,,,45.7,0.062,-1.16,NA,NA,NA,NA,NA,NA,FL,used Sebastes chlorostictus,,1.028,-0.0723,REVERSE,used Sebastes chlorostictus,,F,0.002,5.0228,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",37,TL,(Female L50 - Love 1990) one brood per year,5,,SEBMIN,36113,SMIN,SMIN,Sebastes miniatus,vermilion rockfish and canary rockfish,NA,,,VERM,Sebastes miniatus,vermilion rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,91,50,28,NA,piscivore,piscivore,Targeted,,1
Sebastes mystinus,blue rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,BLUE,NA,9.77E-06,3.09,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,NA,NA,NA,40.02,0.15,-1.34,32.94,0.2,-0.95,FL,Laidig et al. 2003,FL cm,1.039,0.2495,REVERSE,Echeverria and Lenarz 1984,,NS,NA,NA,NA,NA,(eggs = 211841*wt(kg) + 62585),#eggs,Key 2008,29,TL,(Female L50 - Echeverria 1987),5,substrate associated  water column foragers  selective feeding  usually benthic refugers  diurnal,SEBMYS,36114,SMYS,SMYS,Sebastes mystinus,blue rockfish,14005,Sebastes mystinus Adult,SMYS,BLUE,Sebastes mystinus,blue rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,61,60,31,NA,planktivore,planktivore,Targeted,,1
Sebastes paucispinis,bocaccio,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,BOCAC,NA,5.83E-09,3.0941,kg,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,87.8,0.11,-1.73,76.6,0.13,-1.81,FL,Wilkins 1980,,1.045,-0.087,REVERSE,Echeverria and Lenarz 1984,,F,1.16,3.2696,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",36,TL,(Female L50 - Love 1990) multiple broods per year,NA,,SEBPAU,36115,SPAU,SPAU,Sebastes paucispinis,Bocaccio,NA,,SPAU,BOCAC,Sebastes paucispinis,bocaccio,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,91,NA,NA,NA,piscivore,piscivore,Targeted,,1
Sebastes pinniger,canary rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,CANARY,NA,6.88E-06,3.147,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,56.9,0.163,-0.561,NA,NA,NA,NA,NA,NA,FL,Stanley et al. 2009,FL cm,0.943,0,TYPICAL,FishBase,,F,0.112,4.021,cm,TL,F=aTL(cm)^b ,eggs,Phillips 1964 (calculated from raw data),44,TL,(Female L50 - Echeverria 1987),23,water column  pelagic mesocarnivores,SEBPIN,NA,SPIN,SPIN,,vermilion rockfish and canary rockfish,NA,,,CANARY,Sebastes pinniger,canary rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,76,56,31,NA,piscivore,piscivore,Targeted,,1
Semicossyphus pulcher,California sheephead,Labridae,Perciformes,Actinopterygii,1,10,SHEEP,NA,8.45E-05,2.8047,g,mm,SL,Williams et al. 2013,,0.8,0.323,TYPICAL,Hamilton et al 2011,SL=0.80TL+0.323,33.22,0.243,0,NA,NA,NA,NA,NA,NA,SL,Casselle 2011 ,SL cm,1.203,0,REVERSE,FishBase,,NS,NA,NA,NA,NA,annual egg production,NA,Claisse 2012,29,TL,(Female L50 -Hamilton 2011),NA,,SEMPUL,15701,SPUL,SPUL,Semicossyphus pulcher,CA sheephead,14014.5,Semicossyphus pulcher Juvenile,SPUL,SHEEP,Semicossyphus pulcher,California sheephead,WRASSE,WRASSE,Labridae,Other fishes,,91,37,22,12,benthic macro-invertivore,carnivore,Targeted,,1
Sebastes rastrelliger,grass rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,GRASS,NA,0.01,3.05,g,cm,TL,Wilson et al. 2012,,NA,NA,NA,,,45.1,0.13,-1.32,NA,NA,NA,NA,NA,NA,TL,Wilson 2012,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,substrate associated crushers,SEBRAS,36121,SRAS,SRAS,Sebastes rastrelliger,grass rockfish,NA,,,GRASS,Sebastes rastrelliger,grass rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,,,56,44,28,12,piscivore,piscivore,Targeted,,1
Sebastes rosaceus,rosy rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,ROSY,NA,9.89E-06,3.068,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,20.2,0.17,-1.13,32.9,0.12,-0.7,30.2,0.16,-0.1,SL,combined Chen 1971 and Lea et al. 1999,SL cm- Chen 1971- Ages determined with whole otoliths,1.199,0.3917,REVERSE,Echeverria and Lenarz 1984,,F,0.74,3.6497,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",15,TL,(Female L50 - Love 1990) multiple broods per year,10,substrate associated  nocturnal,SEBROS1,NA,SROS,SROS,Sebastes rosaceus,,NA,,,ROSY,Sebastes rosaceus,rosy rockfish,sebastomus_gp,ROCKFISH,Scorpaenidae,Fished rockfishes,,36,NA,NA,NA,benthic macro-invertivore,carnivore,Targeted,,1
Sebastes rubrivinctus,flag rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,FLAG,NA,2.35E-05,2.9431,g,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,25.25,0.18,-3.36,24.71,0.06,-10.33,TL,used Sebastes hopkinsi,,NA,NA,NA,,,NO,NA,NA,NA,NA,NA,NA,NA,34,TL,(Female L50 - Echeverria 1987),8,,SEBRUB2,NA,SRUB,SRUB,Sebastes rubrivinctus,,NA,,,FLAG,Sebastes rubrivinctus,flag rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,51,60,30,NA,piscivore,piscivore,Targeted,,1
Sardinops sagax,Pacific sardine,Clupeidae,Clupeiformes,Actinopterygii,0,10,S_SAGA,NA,1.19E-05,3.021,g,mm,SL,Williams et al. 2013,,0.814,0,TYPICAL,FishBase,SL=0.813TL,20.5,1.19,0,NA,NA,NA,NA,NA,NA,SL,Butler et al. 1996,SL cm,1.228,0,REVERSE,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,,SARSAG,30102,SSAG,SSAG,Sardinops sagax,,NA,,,S_SAGA,Sardinops sagax,Pacific sardine,HERRING,HERRING,Clupeidae,,,39.5,55,23,NA,planktivore,planktivore,Targeted,,1
Sebastes saxicola,stripetail rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,STRIPE,NA,0.02479,2.8048,g,cm,TL,Love et al. 1990,,NA,NA,NA,,,NA,NA,NA,33.05,0.06,-4.63,17.58,0.19,-3.78,TL,Love et al. 1990,TL cm,NA,NA,NA,,,F,0.548,3.7925,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",10,TL,(Female L50 - Love 1990) one brood per year,1,water column foragers  schooling  filter feeding,SEBSAX,NA,SSAX,SSAX,,,NA,,,STRIPE,Sebastes saxicola,stripetail rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Dwarf rockfishes,,38,57,27,NA,planktivore,planktivore,Targeted,,1
Sebastes serranoides,olive rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,OLIVE,NA,6.31E-06,3.136,g,mm,TL,Lea et al. 1999,,NA,NA,NA,,,NA,NA,NA,51.9,0.18,-1.57,43.3,0.27,-1.03,TL,Love and Westenphal 1981,TL cm,NA,NA,NA,,,F,0.006,4.619,cm,TL,F=aTL(cm)^b ,eggs,Love 1981,35,TL,(Female L50 - Echeverria 1987),NA,,SEBSER1,36116,SSER,SSER,,yellowtail rockfish & olive rockfish,14007,Sebastes serranoides Adult,SSER,OLIVE,Sebastes serranoides,olive rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,61,41,28,NA,planktivore,planktivore,Non-targeted,,1
Sebastes serriceps,treefish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,TREE,NA,0.014,3.081,g,cm,TL,Colton and Larson 2007,,NA,NA,NA,,,30.6,0.233,-1.167,NA,NA,NA,NA,NA,NA,TL,Colton and Larson 2007,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SEBSER2,36118,STRE,STRE,Sebastes serriceps,treefish,NA,,STRE,TREE,Sebastes serriceps,treefish,ROCKFISH,ROCKFISH,Scorpaenidae,Fished rockfishes,,41,37,28,NA,piscivore,piscivore,Targeted,,1
Syngnathus sp.,pipefish,Syngnathidae,Syngnathiformes,Actinopterygii,1,10,PIPEF,NA,8.45E-08,3.3487,g,mm,SL,used Synganthus leptorhynchus,,0.93,0,TYPICAL,FishBase,,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),(both sexes extreme in a different way - try to find alternative if possible,NA,NA,NA,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,substrate associated  nocturnal,SYNSP.,36813,SYNG,SYNG,Syngnathus sp.,,NA,,SYNG,PIPEF,Syngnathidae,unidentified pipefish,,,Syngnathidae,,Syngnathus sp,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Torpedo californica,Pacific electric ray,Torpedinidae,Torpediniformes,Elasmobranchii,1,10,T_CALI,NA,7.00E-05,2.7748,g,mm,TL,Miller et al. 2008,,NA,NA,NA,,,NA,NA,NA,137.3,0.0733,-1.934,92.1,0.1372,-1.483,TL,Neer and Caillet 2001,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,,TORCAL,39017,TCAL,TCAL,Torpedo californica,,NA,,,T_CALI,Torpedo californica,Pacific electric ray,RAY,RAY,Torpedinidae,Rays,,140,53,28,NA,piscivore,piscivore,Non-targeted,,0
Triakis semifasciata,leopard shark,Triakidae,Carcharhiniformes,Elasmobranchii,1,10,LEOPARD,NA,5.95E-06,2.9511,g,mm,TL,Williams et al. 2013,,NA,NA,NA,,,153.6,0.082,-2.31,NA,NA,NA,NA,NA,NA,TL,Kusher et al. 1992,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,TRISEM,39016,TSEM,TSEM,Triakis semifasciata,,NA,,TSEM,LEOPARD,Triakis semifasciata,leopard shark,,,Triakididae,,,198,43,23,36,benthic macro-invertivore,carnivore,Targeted,,0
Trachurus symmetricus,jack mackerel,Carangidae,Perciformes,Actinopterygii,1,10,T_SYMM,NA,7.00E-06,3.1246,g,mm,SL,Miller et al. 2008,,0.795,0,TYPICAL,FishBase,SL=0.795*TL,60.29,0.0935,-3.252,NA,NA,NA,NA,NA,NA,FL,Wine and Knaggs 1975,FL cm,1.093,0,REVERSE,FishBase,SL=0.795*TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,TRASYM,19900,TSYM,TSYM,Trachurus symmetricus,,NA,,,T_SYMM,Trachurus symmetricus,jack mackerel,,,Carangidae,Pelagic,,81,57,24,NA,planktivore,planktivore,Non-targeted,,1
Urobatis halleri,round stingray,Urolophidae,Myliobatiformes,Elasmobranchii,1,10,,NA,5.73E-05,3.0176,g,mm,DW,Williams et al. 2013,,NA,NA,NA,,,250.5,0.11,-5.4,NA,NA,NA,NA,NA,NA,NA,Hale & Lowe 2008,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,water column  pelagic mesocarnivores,UROHAL,39011,UHAL,UHAL,Urobatis halleri,,NA,,,,,,,,,,,58,NA,NA,NA,benthic macro-invertivore,carnivore,Non-targeted,,0
Xenistius californiensis,salema,Haemulidae,Perciformes,Actinopterygii,1,10,,NA,1.07E-05,2.91,g,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,substrate associated  diggers and extractors,XENCAL,15602,XCAL,XCAL,Xenistius californiensis,,NA,,,,,,,,,,,30,36,-10,NA,planktivore,planktivore,Targeted,,1
Zalembius rosaceus,pink seaperch,Embiotocidae,Perciformes,Actinopterygii,1,10,Z_ROSA,NA,0.01532,2.927962,g,cm,TL,Love unpublished data,,NA,NA,NA,,,12.87,0.63,-0.45,NA,NA,NA,NA,NA,NA,SL,used Cymatogater aggregata,,1.18,0,REVERSE,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,ZALROS,99116,ZROS,ZROS,Zalembius rosaceus,,NA,,,Z_ROSA,Zalembius rosaceus,pink surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,20,38,27,NA,planktivore,planktivore,Non-targeted,,1
